refdes;pin;voltage;current
J2;pdna_pin_1_1;11.9971;1.4703
J2;pdna_pin_1_2;11.9971;1.4703
J2;pdna_pin_2_1;0.0;-1.4703
J2;pdna_pin_2_2;0.0;-1.4703
L1_5V;1;4.99906;0.0
U1_5V;F3;0.00201313;-0.437056
U1_5V;E3;0.00201313;-0.437056
U1_5V;D3;0.00201313;-0.437056
U1_5V;C4;0.00201313;-0.437056
U1_5V;C3;0.00201313;-0.437056
U1_5V;B3;0.00201313;-0.437056
U1_5V;A3;0.00201313;-0.437056
L2_5V;1;4.99896;0.0
J1;5;4.92103;-1.502656
J1;6;4.92055;-1.497254
J1;7;4.92055;-1.497254
J1;8;4.92104;-1.502828
J1;pdna_pin_SHLD_1;0.00738975;0.734436
J1;pdna_pin_SHLD_2;0.00747217;0.73351
J1;pdna_pin_SHLD_3;0.00565165;0.75399
J1;pdna_pin_SHLD_4;0.00554762;0.75516
J1;1;0.00554146;0.75523
J1;2;0.00536521;0.757212
J1;3;0.00541385;0.756666
J1;4;0.00566968;0.753788
U1_5V;A1;11.9464;-0.420733
U1_5V;F1;11.9463;-0.420296
U1_5V;E4;11.9454;-0.416278
U1_5V;E1;11.9463;-0.420296
U1_5V;D1;11.9465;-0.420891
U1_5V;C1;11.9465;-0.420891
U1_5V;B1;11.9465;-0.421223
U2;5;11.9897;-2.94061
U2;6;11.9608;2.94061
L1_5V;2;4.92827;2.94957
L2_5V;2;4.92575;3.05043
