x;y;layer1;layer2;voltage1;voltage2;current
3390;3376.73;TOP_LAYER;GND;0.00139999;0.00139875;0.00912174
3390;3376.73;GND;POWER;0.00139875;0.00141125;-0.00712192
3390;3376.73;POWER;BOTTOM_LAYER;0.00141125;0.00141221;-0.00712192
3390;4365.9;TOP_LAYER;GND;0.000657392;0.000658078;-0.00507785
3390;4365.9;GND;POWER;0.000658078;0.000650376;0.00438914
3390;4365.9;POWER;BOTTOM_LAYER;0.000650376;0.000649784;0.00438914
3429.37;4365.9;TOP_LAYER;GND;0.000650493;0.000651657;-0.00862542
3429.37;4365.9;GND;POWER;0.000651657;0.000644062;0.00432904
3429.37;4365.9;POWER;BOTTOM_LAYER;0.000644062;0.000643477;0.00432904
3468.74;3297.99;TOP_LAYER;GND;0.00142982;0.00142977;0.000365745
3468.74;3297.99;GND;POWER;0.00142977;0.00143302;-0.0018525
3468.74;3297.99;POWER;BOTTOM_LAYER;0.00143302;0.00143327;-0.0018525
3468.74;3376.73;TOP_LAYER;GND;0.00141566;0.00141423;0.0106131
3468.74;3376.73;GND;POWER;0.00141423;0.00142463;-0.00592907
3468.74;3376.73;POWER;BOTTOM_LAYER;0.00142463;0.00142544;-0.00592907
3468.74;4365.9;TOP_LAYER;GND;0.000645079;0.000645921;-0.00623931
3468.74;4365.9;GND;POWER;0.000645921;0.000640189;0.00326724
3468.74;4365.9;POWER;BOTTOM_LAYER;0.000640189;0.000639748;0.00326724
3468.74;4405.27;TOP_LAYER;GND;0.000639483;0.000639244;0.00177143
3468.74;4405.27;GND;POWER;0.000639244;0.000636052;0.00181936
3468.74;4405.27;POWER;BOTTOM_LAYER;0.000636052;0.000635806;0.00181936
3468.74;4444.64;TOP_LAYER;GND;0.000634692;0.000634676;0.000116244
3468.74;4444.64;GND;POWER;0.000634676;0.000633292;0.000789228
3468.74;4444.64;POWER;BOTTOM_LAYER;0.000633292;0.000633185;0.000789228
3508.11;3297.99;TOP_LAYER;GND;0.0014319;0.00143225;-0.00262991
3508.11;3297.99;GND;POWER;0.00143225;0.00143494;-0.00152847
3508.11;3297.99;POWER;BOTTOM_LAYER;0.00143494;0.00143514;-0.00152847
3508.11;3337.36;TOP_LAYER;GND;0.0014319;0.00143128;0.00460406
3508.11;3337.36;GND;POWER;0.00143128;0.00143334;-0.00117781
3508.11;3337.36;POWER;BOTTOM_LAYER;0.00143334;0.0014335;-0.00117781
3508.11;3376.73;TOP_LAYER;GND;0.00142561;0.00142462;0.00730455
3508.11;3376.73;GND;POWER;0.00142462;0.0014307;-0.00346246
