refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,11.9971,1.4703,0
VCOMP0,VCOMP0-1,11.9971,1.4703,0
VCOMP0,VCOMP0-2,0,-1.4703,0
VCOMP0,VCOMP0-3,0,-1.4703,0
VCOMP3,VCOMP3-0,4.99906,2.94957,0
VCOMP3,VCOMP3-1,0.00201313,-0.421368,0
VCOMP3,VCOMP3-2,0.00201313,-0.421368,0
VCOMP3,VCOMP3-3,0.00201313,-0.421368,0
VCOMP3,VCOMP3-4,0.00201313,-0.421368,0
VCOMP3,VCOMP3-5,0.00201313,-0.421368,0
VCOMP3,VCOMP3-6,0.00201313,-0.421368,0
VCOMP3,VCOMP3-7,0.00201313,-0.421368,0
VCOMP5,VCOMP5-0,4.99896,3.05043,0
VCOMP5,VCOMP5-1,0.00201313,-0.435775,0
VCOMP5,VCOMP5-2,0.00201313,-0.435775,0
VCOMP5,VCOMP5-3,0.00201313,-0.435775,0
VCOMP5,VCOMP5-4,0.00201313,-0.435775,0
VCOMP5,VCOMP5-5,0.00201313,-0.435775,0
VCOMP5,VCOMP5-6,0.00201313,-0.435775,0
VCOMP5,VCOMP5-7,0.00201313,-0.435775,0
VCOMP1,VCOMP1-0,4.92103,-0.751328,0.177778
VCOMP1,VCOMP1-1,4.92055,-0.748627,0.177778
VCOMP1,VCOMP1-2,4.92055,-0.748627,0.177778
VCOMP1,VCOMP1-3,4.92104,-0.751414,0.177778
VCOMP1,VCOMP1-4,0.00738975,0.367218,0.177778
VCOMP1,VCOMP1-5,0.00747217,0.366755,0.177778
VCOMP1,VCOMP1-6,0.00565165,0.376995,0.177778
VCOMP1,VCOMP1-7,0.00554762,0.37758,0.177778
VCOMP1,VCOMP1-8,0.00554146,0.377615,0.177778
VCOMP1,VCOMP1-9,0.00536521,0.378606,0.177778
VCOMP1,VCOMP1-10,0.00541385,0.378333,0.177778
VCOMP1,VCOMP1-11,0.00566968,0.376894,0.177778
VCOMP2,VCOMP2-0,4.92103,-0.751328,0.177778
VCOMP2,VCOMP2-1,4.92055,-0.748627,0.177778
VCOMP2,VCOMP2-2,4.92055,-0.748627,0.177778
VCOMP2,VCOMP2-3,4.92104,-0.751414,0.177778
VCOMP2,VCOMP2-4,0.00738975,0.367218,0.177778
VCOMP2,VCOMP2-5,0.00747217,0.366755,0.177778
VCOMP2,VCOMP2-6,0.00565165,0.376995,0.177778
VCOMP2,VCOMP2-7,0.00554762,0.37758,0.177778
VCOMP2,VCOMP2-8,0.00554146,0.377615,0.177778
VCOMP2,VCOMP2-9,0.00536521,0.378606,0.177778
VCOMP2,VCOMP2-10,0.00541385,0.378333,0.177778
VCOMP2,VCOMP2-11,0.00566968,0.376894,0.177778
VCOMP4,VCOMP4-0,11.9464,-0.20683,0.484232
VCOMP4,VCOMP4-1,11.9463,-0.206615,0.484232
VCOMP4,VCOMP4-2,11.9454,-0.20464,0.484232
VCOMP4,VCOMP4-3,11.9463,-0.206615,0.484232
VCOMP4,VCOMP4-4,11.9465,-0.206908,0.484232
VCOMP4,VCOMP4-5,11.9465,-0.206908,0.484232
VCOMP4,VCOMP4-6,11.9465,-0.207071,0.484232
VCOMP4,VCOMP4-7,0.00201313,0.206513,0.484232
VCOMP4,VCOMP4-8,0.00201313,0.206513,0.484232
VCOMP4,VCOMP4-9,0.00201313,0.206513,0.484232
VCOMP4,VCOMP4-10,0.00201313,0.206513,0.484232
VCOMP4,VCOMP4-11,0.00201313,0.206513,0.484232
VCOMP4,VCOMP4-12,0.00201313,0.206513,0.484232
VCOMP4,VCOMP4-13,0.00201313,0.206513,0.484232
VCOMP6,VCOMP6-0,11.9464,-0.213903,0.468221
VCOMP6,VCOMP6-1,11.9463,-0.213681,0.468221
VCOMP6,VCOMP6-2,11.9454,-0.211638,0.468221
VCOMP6,VCOMP6-3,11.9463,-0.213681,0.468221
VCOMP6,VCOMP6-4,11.9465,-0.213983,0.468221
VCOMP6,VCOMP6-5,11.9465,-0.213983,0.468221
VCOMP6,VCOMP6-6,11.9465,-0.214152,0.468221
VCOMP6,VCOMP6-7,0.00201313,0.213574,0.468221
VCOMP6,VCOMP6-8,0.00201313,0.213574,0.468221
VCOMP6,VCOMP6-9,0.00201313,0.213574,0.468221
VCOMP6,VCOMP6-10,0.00201313,0.213574,0.468221
VCOMP6,VCOMP6-11,0.00201313,0.213574,0.468221
VCOMP6,VCOMP6-12,0.00201313,0.213574,0.468221
VCOMP6,VCOMP6-13,0.00201313,0.213574,0.468221
VCOMP7,VCOMP7-0,11.9897,-2.94061,0.0049
VCOMP7,VCOMP7-1,11.9608,2.94061,0.0049
VCOMP8,VCOMP8-0,4.99906,-2.94957,0.012
VCOMP8,VCOMP8-1,4.92827,2.94957,0.012
VCOMP9,VCOMP9-0,4.99896,-3.05043,0.012
VCOMP9,VCOMP9-1,4.92575,3.05043,0.012
