refdes,pin,voltage,current
J2,pdna_pin_1_1,11.997,1.47745
J2,pdna_pin_1_2,11.997,1.47745
J2,pdna_pin_2_1,0.0,-1.47745
J2,pdna_pin_2_2,0.0,-1.47745
L1_5V,1,4.99908,0.0
U1_5V,F3,0.00203417,-0.43501300000000004
U1_5V,E3,0.00203417,-0.43501300000000004
U1_5V,D3,0.00203417,-0.43501300000000004
U1_5V,C4,0.00203417,-0.43501300000000004
U1_5V,C3,0.00203417,-0.43501300000000004
U1_5V,B3,0.00203417,-0.43501300000000004
U1_5V,A3,0.00203417,-0.43501300000000004
L2_5V,1,4.99898,0.0
J1,5,4.92105,-1.502656
J1,6,4.92057,-1.497254
J1,7,4.92057,-1.497254
J1,8,4.92106,-1.502828
J1,pdna_pin_SHLD_1,0.0074053,0.734436
J1,pdna_pin_SHLD_2,0.00748767,0.73351
J1,pdna_pin_SHLD_3,0.00566715,0.75399
J1,pdna_pin_SHLD_4,0.00556317,0.75516
J1,1,0.005557,0.75523
J1,2,0.00538073,0.757212
J1,3,0.00542937,0.756666
J1,4,0.00568519,0.753788
U1_5V,A1,11.9462,-0.42278099999999996
U1_5V,F1,11.9461,-0.42234099999999997
U1_5V,E4,11.9451,-0.418283
U1_5V,E1,11.9461,-0.42234099999999997
U1_5V,D1,11.9462,-0.422941
U1_5V,C1,11.9462,-0.422941
U1_5V,B1,11.9463,-0.423277
U2,5,11.9896,-2.9549
U2,6,11.9606,2.9549
L1_5V,2,4.92829,2.94957
L2_5V,2,4.92577,3.05043
