x,y,layer1,layer2,voltage1,voltage2,current
3390,3376.73,TOP_LAYER,GND,0.00140663,0.00140539,0.0091644
3390,3376.73,GND,POWER,0.00140539,0.00141795,-0.00715523
3390,3376.73,POWER,BOTTOM_LAYER,0.00141795,0.00141891,-0.00715523
3390,4365.9,TOP_LAYER,GND,0.000660554,0.000661243,-0.00510174
3390,4365.9,GND,POWER,0.000661243,0.000653505,0.00440979
3390,4365.9,POWER,BOTTOM_LAYER,0.000653505,0.00065291,0.00440979
3429.37,4365.9,TOP_LAYER,GND,0.000653623,0.000654792,-0.008666
3429.37,4365.9,GND,POWER,0.000654792,0.000647161,0.0043494
3429.37,4365.9,POWER,BOTTOM_LAYER,0.000647161,0.000646574,0.0043494
3468.74,3297.99,TOP_LAYER,GND,0.0014366,0.00143655,0.000367455
3468.74,3297.99,GND,POWER,0.00143655,0.00143982,-0.00186117
3468.74,3297.99,POWER,BOTTOM_LAYER,0.00143982,0.00144007,-0.00186117
3468.74,3376.73,TOP_LAYER,GND,0.00142238,0.00142094,0.0106627
3468.74,3376.73,GND,POWER,0.00142094,0.00143139,-0.0059568
3468.74,3376.73,POWER,BOTTOM_LAYER,0.00143139,0.0014322,-0.0059568
3468.74,4365.9,TOP_LAYER,GND,0.000648183,0.000649029,-0.00626866
3468.74,4365.9,GND,POWER,0.000649029,0.00064327,0.00328261
3468.74,4365.9,POWER,BOTTOM_LAYER,0.00064327,0.000642827,0.00328261
3468.74,4405.27,TOP_LAYER,GND,0.000642561,0.00064232,0.00177976
3468.74,4405.27,GND,POWER,0.00064232,0.000639113,0.00182792
3468.74,4405.27,POWER,BOTTOM_LAYER,0.000639113,0.000638866,0.00182792
3468.74,4444.64,TOP_LAYER,GND,0.000637747,0.000637731,0.000116791
3468.74,4444.64,GND,POWER,0.000637731,0.00063634,0.000792941
3468.74,4444.64,POWER,BOTTOM_LAYER,0.00063634,0.000636233,0.000792941
3508.11,3297.99,TOP_LAYER,GND,0.00143869,0.00143905,-0.00264221
3508.11,3297.99,GND,POWER,0.00143905,0.00144174,-0.00153562
3508.11,3297.99,POWER,BOTTOM_LAYER,0.00144174,0.00144195,-0.00153562
3508.11,3337.36,TOP_LAYER,GND,0.00143869,0.00143807,0.00462559
3508.11,3337.36,GND,POWER,0.00143807,0.00144014,-0.00118332
3508.11,3337.36,POWER,BOTTOM_LAYER,0.00144014,0.0014403,-0.00118332
3508.11,3376.73,TOP_LAYER,GND,0.00143237,0.00143138,0.00733871
3508.11,3376.73,GND,POWER,0.00143138,0.00143748,-0.00347865
3508.11,3376.73,POWER,BOTTOM_LAYER,0.00143748,0.00143795,-0.00347865
3508.11,4365.9,TOP_LAYER,GND,0.000640674,0.000641338,-0.00491809
3508.11,4365.9,GND,POWER,0.000641338,0.000637687,0.00208063
3508.11,4365.9,POWER,BOTTOM_LAYER,0.000637687,0.000637406,0.00208063
3508.11,4405.27,TOP_LAYER,GND,0.000637731,0.000637726,3.40491e-05
3508.11,4405.27,GND,POWER,0.000637726,0.000636239,0.000847498
3508.11,4405.27,POWER,BOTTOM_LAYER,0.000636239,0.000636125,0.000847498
3508.11,4444.64,TOP_LAYER,GND,0.000635888,0.000635867,0.000151431
3508.11,4444.64,GND,POWER,0.000635867,0.000634744,0.000640231
3508.11,4444.64,POWER,BOTTOM_LAYER,0.000634744,0.000634658,0.000640231
3523.86,3585.39,TOP_LAYER,GND,0.00125407,0.00125495,-0.00651595
3523.86,3585.39,GND,POWER,0.00125495,0.00125404,0.000519306
3523.86,3585.39,POWER,BOTTOM_LAYER,0.00125404,0.00125397,0.000519306
3523.86,3616.89,TOP_LAYER,GND,0.00124424,0.00124525,-0.0074389
3523.86,3616.89,GND,POWER,0.00124525,0.00124793,-0.00153048
3523.86,3616.89,POWER,BOTTOM_LAYER,0.00124793,0.00124814,-0.00153048
3523.86,3648.38,TOP_LAYER,GND,0.00124424,0.00124201,0.0165551
3523.86,3648.38,GND,POWER,0.00124201,0.00124149,0.000297607
3523.86,3648.38,POWER,BOTTOM_LAYER,0.00124149,0.00124145,0.000297607
3523.86,3679.88,TOP_LAYER,GND,0.00123501,0.0012321,0.021518
3523.86,3679.88,GND,POWER,0.0012321,0.00123543,-0.00189419
3523.86,3679.88,POWER,BOTTOM_LAYER,0.00123543,0.00123568,-0.00189419
3526.38,4065.71,TOP_LAYER,GND,0.000808451,0.000810523,-0.0153494
3526.38,4065.71,GND,POWER,0.000810523,0.000804105,0.00365786
