vrefdes,vpin,refdes,pin
VCOMP0,0,J2,pdna_pin_1_1
VCOMP0,1,J2,pdna_pin_1_2
VCOMP0,2,J2,pdna_pin_2_1
VCOMP0,3,J2,pdna_pin_2_2
VCOMP1,0,J1,5
VCOMP1,1,J1,6
VCOMP1,2,J1,7
VCOMP1,3,J1,8
VCOMP1,4,J1,pdna_pin_SHLD_1
VCOMP1,5,J1,pdna_pin_SHLD_2
VCOMP1,6,J1,pdna_pin_SHLD_3
VCOMP1,7,J1,pdna_pin_SHLD_4
VCOMP1,8,J1,1
VCOMP1,9,J1,2
VCOMP1,10,J1,3
VCOMP1,11,J1,4
VCOMP2,0,J1,5
VCOMP2,1,J1,6
VCOMP2,2,J1,7
VCOMP2,3,J1,8
VCOMP2,4,J1,pdna_pin_SHLD_1
VCOMP2,5,J1,pdna_pin_SHLD_2
VCOMP2,6,J1,pdna_pin_SHLD_3
VCOMP2,7,J1,pdna_pin_SHLD_4
VCOMP2,8,J1,1
VCOMP2,9,J1,2
VCOMP2,10,J1,3
VCOMP2,11,J1,4
VCOMP3,0,L1_5V,1
VCOMP3,1,U1_5V,F3
VCOMP3,2,U1_5V,E3
VCOMP3,3,U1_5V,D3
VCOMP3,4,U1_5V,C4
VCOMP3,5,U1_5V,C3
VCOMP3,6,U1_5V,B3
VCOMP3,7,U1_5V,A3
VCOMP4,0,U1_5V,A1
VCOMP4,1,U1_5V,F1
VCOMP4,2,U1_5V,E4
VCOMP4,3,U1_5V,E1
VCOMP4,4,U1_5V,D1
VCOMP4,5,U1_5V,C1
VCOMP4,6,U1_5V,B1
VCOMP4,7,U1_5V,F3
VCOMP4,8,U1_5V,E3
VCOMP4,9,U1_5V,D3
VCOMP4,10,U1_5V,C4
VCOMP4,11,U1_5V,C3
VCOMP4,12,U1_5V,B3
VCOMP4,13,U1_5V,A3
VCOMP5,0,L2_5V,1
VCOMP5,1,U1_5V,F3
VCOMP5,2,U1_5V,E3
VCOMP5,3,U1_5V,D3
VCOMP5,4,U1_5V,C4
VCOMP5,5,U1_5V,C3
VCOMP5,6,U1_5V,B3
VCOMP5,7,U1_5V,A3
VCOMP6,0,U1_5V,A1
VCOMP6,1,U1_5V,F1
VCOMP6,2,U1_5V,E4
VCOMP6,3,U1_5V,E1
VCOMP6,4,U1_5V,D1
VCOMP6,5,U1_5V,C1
VCOMP6,6,U1_5V,B1
VCOMP6,7,U1_5V,F3
VCOMP6,8,U1_5V,E3
VCOMP6,9,U1_5V,D3
VCOMP6,10,U1_5V,C4
VCOMP6,11,U1_5V,C3
VCOMP6,12,U1_5V,B3
VCOMP6,13,U1_5V,A3
VCOMP7,0,U2,5
VCOMP7,1,U2,6
VCOMP8,0,L1_5V,1
VCOMP8,1,L1_5V,2
VCOMP9,0,L2_5V,1
VCOMP9,1,L2_5V,2
