x;y;layer1;layer2;voltage1;voltage2;current
3390;3376.73;TOP_LAYER;GND;3.31361e-05;3.30895e-05;0.000344973
3390;3376.73;GND;POWER;3.30895e-05;3.35622e-05;-0.000269398
3390;3376.73;POWER;BOTTOM_LAYER;3.35622e-05;3.35986e-05;-0.000269398
3390;4365.9;TOP_LAYER;GND;6.93232e-06;6.95441e-06;-0.000163657
3390;4365.9;GND;POWER;6.95441e-06;6.70631e-06;0.000141398
3390;4365.9;POWER;BOTTOM_LAYER;6.70631e-06;6.68723e-06;0.000141398
3429.37;4365.9;TOP_LAYER;GND;6.70993e-06;6.74742e-06;-0.000277739
3429.37;4365.9;GND;POWER;6.74742e-06;6.50286e-06;0.000139383
3429.37;4365.9;POWER;BOTTOM_LAYER;6.50286e-06;6.48405e-06;0.000139383
3468.74;3297.99;TOP_LAYER;GND;3.42645e-05;3.42626e-05;1.38433e-05
3468.74;3297.99;GND;POWER;3.42626e-05;3.43857e-05;-7.01182e-05
3468.74;3297.99;POWER;BOTTOM_LAYER;3.43857e-05;3.43951e-05;-7.01182e-05
3468.74;3376.73;TOP_LAYER;GND;3.37289e-05;3.36747e-05;0.000401677
3468.74;3376.73;GND;POWER;3.36747e-05;3.40684e-05;-0.000224389
3468.74;3376.73;POWER;BOTTOM_LAYER;3.40684e-05;3.40987e-05;-0.000224389
3468.74;4365.9;TOP_LAYER;GND;6.53546e-06;6.56254e-06;-0.000200631
3468.74;4365.9;GND;POWER;6.56254e-06;6.37809e-06;0.000105122
3468.74;4365.9;POWER;BOTTOM_LAYER;6.37809e-06;6.3639e-06;0.000105122
3468.74;4405.27;TOP_LAYER;GND;6.3554e-06;6.3477e-06;5.70449e-05
3468.74;4405.27;GND;POWER;6.3477e-06;6.24494e-06;5.85664e-05
3468.74;4405.27;POWER;BOTTOM_LAYER;6.24494e-06;6.23704e-06;5.85664e-05
3468.74;4444.64;TOP_LAYER;GND;6.20121e-06;6.2007e-06;3.77139e-06
